run 40000
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 9 9 9
Memory usage per processor = 3.8843 Mbytes
Step Time Lx Ly Lz Press Density Pxx Pyy Pzz PotEng Temp PotEng KinEng TotEng 
     540          540    66.843327    66.843327    66.843327    23.962863    2.5693463    24.764493    33.294461    13.829637   -10601.746    125.10908   -10601.746    1985.0872   -8616.6589 
     545          545    66.918964    66.918964    66.918964   -26.247418     2.560644   -25.876137   -15.903362   -36.962754   -10589.955    125.28175   -10589.955     1987.827   -8602.1285 
     550          550    66.935209    66.935209    66.935209   -29.221038    2.5587801   -29.146168   -17.738588    -40.77836    -10582.51    125.66876    -10582.51    1993.9676   -8588.5423 
     555          555    66.830271    66.830271    66.830271    64.223972    2.5708525    64.165292    77.254465    51.252159   -10583.751    126.51069   -10583.751    2007.3264   -8576.4248 
     560          560    66.928238    66.928238    66.928238   -3.8628848    2.5595797   -4.1484266    10.100648   -17.540876   -10570.405    126.58224   -10570.405    2008.4617   -8561.9434 
     565          565    67.041481    67.041481    67.041481   -80.893079     2.546631   -81.323061   -66.107799   -95.248377   -10554.336    126.58158   -10554.336    2008.4512   -8545.8843 
     570          570    66.869043    66.869043    66.869043    64.283958    2.5663832     63.97975    81.038539    47.833585   -10560.882    127.65653   -10560.882    2025.5072   -8535.3745 
     575          575    66.889321    66.889321    66.889321    58.827244    2.5640499    58.566458    76.811331    41.103944     -10552.4    127.99841     -10552.4    2030.9318   -8521.4682 
     580          580    67.103251    67.103251    67.103251   -95.925811    2.5396049   -96.252607   -77.614582   -113.91024   -10528.024    127.58281   -10528.024    2024.3376   -8503.6869 
     585          585    66.981188    66.981188    66.981188    8.2242657    2.5535143    8.1018331    28.451688   -11.880724   -10531.005    128.43702   -10531.005    2037.8912   -8493.1134 
     590          590    66.943962    66.943962    66.943962    49.032871    2.5577765    49.114064    70.818185    27.166365   -10525.901    128.96663   -10525.901    2046.2944   -8479.6065 
     595          595    67.051774    67.051774    67.051774    -23.62871    2.5454585    -23.42937   -1.1252431   -46.331518   -10509.899     128.9245   -10509.899    2045.6259   -8464.2726 
     600          600    67.052255    67.052255    67.052255   -12.342959    2.5454036   -11.935453    11.496257   -36.589682   -10501.801     129.2844   -10501.801    2051.3365   -8450.4649 
     605          605    67.015279    67.015279    67.015279     28.27768    2.5496193    28.958721    53.668171    2.2061491   -10496.311    129.78436   -10496.311    2059.2692   -8437.0413 
     610          610    67.072992    67.072992    67.072992   -4.4792274    2.5430435    -3.579404    21.812658   -31.670936   -10483.565    129.91225   -10483.565    2061.2984   -8422.2663 
     615          615    67.121452    67.121452    67.121452   -29.437497    2.5375394   -28.309076   -2.2705316   -57.732883   -10471.188     130.0682   -10471.188    2063.7728   -8407.4152 
     620          620       67.047       67.047       67.047      40.1302    2.5460021     41.57921     69.07514    9.7362507   -10468.294    130.69977   -10468.294    2073.7939   -8394.4999 
     625          625    67.073377    67.073377    67.073377    31.933557    2.5429996     33.66617    61.771572   0.36292932   -10457.666     130.9457   -10457.666     2077.696   -8379.9698 
     630          630    67.287028    67.287028    67.287028    -115.9679    2.5188527   -114.05084   -86.910864     -146.942   -10430.723    130.45558   -10430.723    2069.9193   -8360.8035 
     635          635    67.089439    67.089439    67.089439    44.203059    2.5411736    46.615339    75.793394    10.200445   -10438.964    131.57172   -10438.964    2087.6289    -8351.335 
     640          640    67.072457    67.072457    67.072457    69.898077    2.5431044     72.67571    102.41384    34.604685   -10431.325    132.00394   -10431.325    2094.4869    -8336.838 
     645          645    67.264861    67.264861    67.264861   -64.468581    2.5213438   -61.449115   -33.054147   -98.902481   -10408.001    131.61544   -10408.001    2088.3227    -8319.678 
     650          650    67.200382    67.200382    67.200382   -4.6134948    2.5286085   -1.1682419    27.841652   -40.513894   -10405.215    132.24525   -10405.215    2098.3158    -8306.899 
     655          655    67.147224    67.147224    67.147224    47.863978    2.5346187     51.73307    81.116339    10.742525   -10400.968    132.85389   -10400.968     2107.973   -8292.9947 
     660          660    67.256541    67.256541    67.256541    -23.62951    2.5222797   -19.432447    8.7420065    -60.19809   -10384.769    132.83564   -10384.769    2107.6834   -8277.0851 
     665          665    67.266163    67.266163    67.266163   -19.546809    2.5211974   -14.969746      12.6928    -56.36348   -10376.309    133.22674   -10376.309     2113.889   -8262.4196 
